"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Jan-2024","EQ","1,107.15","1,126.30","1,105.00","1,097.50","1,116.00","1,116.55","1,118.44","1,151.85","814.30","1,23,03,696","13,76,09,61,329.10","3,48,516"
"18-Jan-2024","EQ","1,066.00","1,108.75","1,066.00","1,082.30","1,093.25","1,097.50","1,095.78","1,151.85","814.30","1,14,73,135","12,57,20,42,567.15","2,64,860"
"17-Jan-2024","EQ","1,082.00","1,115.00","1,079.20","1,119.10","1,080.75","1,082.30","1,095.23","1,151.85","814.30","2,49,13,719","27,28,61,73,643.85","5,34,448"
"16-Jan-2024","EQ","1,116.65","1,127.80","1,115.10","1,119.50","1,120.20","1,119.10","1,121.84","1,151.85","814.30","52,29,753","5,86,69,22,578.85","1,51,286"
"15-Jan-2024","EQ","1,122.00","1,130.45","1,116.60","1,120.35","1,120.50","1,119.50","1,121.23","1,151.85","814.30","67,19,079","7,53,36,58,320.55","2,48,969"
"12-Jan-2024","EQ","1,126.35","1,129.45","1,118.05","1,125.75","1,119.05","1,120.35","1,122.27","1,151.85","814.30","56,16,755","6,30,35,28,702.20","2,48,340"
"11-Jan-2024","EQ","1,111.05","1,127.90","1,111.05","1,107.00","1,125.00","1,125.75","1,122.67","1,151.85","814.30","46,83,035","5,25,74,89,790.30","1,43,442"
"10-Jan-2024","EQ","1,115.25","1,116.00","1,099.05","1,116.55","1,106.95","1,107.00","1,106.11","1,151.85","814.30","59,34,163","6,56,38,41,404.30","1,33,259"
"09-Jan-2024","EQ","1,128.55","1,135.55","1,112.35","1,122.00","1,118.80","1,116.55","1,124.29","1,151.85","814.30","63,59,362","7,14,97,64,859.70","1,84,213"
"08-Jan-2024","EQ","1,145.00","1,146.00","1,118.50","1,136.95","1,122.00","1,122.00","1,131.56","1,151.85","814.30","47,35,538","5,35,85,48,732.15","1,40,745"
"05-Jan-2024","EQ","1,124.00","1,139.90","1,119.00","1,123.40","1,134.30","1,136.95","1,131.22","1,151.85","814.30","80,25,466","9,07,85,62,317.50","1,93,046"
"04-Jan-2024","EQ","1,103.00","1,130.00","1,100.05","1,098.60","1,125.00","1,123.40","1,120.15","1,151.85","814.30","1,14,11,683","12,78,27,78,096.05","1,79,554"
"03-Jan-2024","EQ","1,091.00","1,102.60","1,081.30","1,093.25","1,098.00","1,098.60","1,093.81","1,151.85","814.30","1,02,25,290","11,18,44,74,919.70","2,32,835"
"02-Jan-2024","EQ","1,095.10","1,099.35","1,082.30","1,097.70","1,089.25","1,093.25","1,091.41","1,151.85","814.30","78,95,577","8,61,73,45,938.55","1,87,704"
"01-Jan-2024","EQ","1,095.00","1,104.00","1,093.00","1,102.30","1,095.00","1,097.70","1,099.75","1,151.85","814.30","40,83,732","4,49,11,02,999.50","1,60,126"
"29-Dec-2023","EQ","1,101.45","1,106.85","1,093.95","1,107.85","1,100.10","1,102.30","1,100.75","1,151.85","814.30","87,86,731","9,67,19,68,618.40","2,40,614"
"28-Dec-2023","EQ","1,107.25","1,113.00","1,098.00","1,106.35","1,105.45","1,107.85","1,106.86","1,151.85","814.30","1,40,97,667","15,60,41,86,879.50","2,45,184"
"27-Dec-2023","EQ","1,096.05","1,110.55","1,089.65","1,094.25","1,105.15","1,106.35","1,098.80","1,151.85","814.30","61,32,936","6,73,88,56,890.50","1,76,530"
"26-Dec-2023","EQ","1,091.20","1,100.65","1,086.70","1,088.30","1,095.10","1,094.25","1,095.43","1,151.85","814.30","56,87,517","6,23,02,84,824.95","1,72,889"
"22-Dec-2023","EQ","1,095.40","1,106.30","1,085.80","1,095.40","1,087.00","1,088.30","1,096.23","1,151.85","814.30","1,06,00,025","11,62,01,11,915.20","2,18,277"
"21-Dec-2023","EQ","1,103.90","1,103.90","1,077.20","1,110.25","1,097.50","1,095.40","1,087.00","1,151.85","814.30","1,09,14,682","11,86,42,90,405.90","2,21,320"
"20-Dec-2023","EQ","1,122.00","1,123.85","1,102.70","1,120.25","1,106.00","1,110.25","1,112.15","1,151.85","814.30","98,48,057","10,95,24,82,841.95","1,90,862"
"19-Dec-2023","EQ","1,123.80","1,126.85","1,114.20","1,111.35","1,118.10","1,120.25","1,120.30","1,151.85","814.30","68,24,641","7,64,56,47,743.95","1,74,957"
"18-Dec-2023","EQ","1,119.70","1,120.00","1,107.20","1,120.35","1,111.00","1,111.35","1,114.04","1,151.85","814.30","79,22,468","8,82,59,09,720.20","2,62,111"
"15-Dec-2023","EQ","1,119.20","1,127.85","1,108.60","1,120.45","1,119.00","1,120.35","1,117.59","1,151.85","814.30","1,20,48,410","13,46,51,33,552.55","3,23,172"
"14-Dec-2023","EQ","1,132.40","1,138.60","1,117.90","1,114.85","1,122.55","1,120.45","1,127.35","1,151.85","814.30","94,21,193","10,62,09,70,058.85","2,32,736"
"13-Dec-2023","EQ","1,150.00","1,151.00","1,111.45","1,131.00","1,116.90","1,114.85","1,120.12","1,151.85","814.30","81,84,523","9,16,76,67,504.25","2,15,402"
"12-Dec-2023","EQ","1,120.00","1,133.90","1,109.00","1,116.50","1,131.00","1,131.00","1,123.69","1,151.85","814.30","90,44,111","10,16,28,00,910.35","2,57,865"
"11-Dec-2023","EQ","1,129.00","1,139.40","1,113.85","1,131.20","1,115.00","1,116.50","1,121.41","1,151.85","814.30","69,24,589","7,76,52,83,070.70","1,47,123"
"08-Dec-2023","EQ","1,115.85","1,134.35","1,111.50","1,117.85","1,133.45","1,131.20","1,121.13","1,151.85","814.30","73,00,989","8,18,53,52,019.60","1,59,412"
"07-Dec-2023","EQ","1,119.25","1,129.60","1,108.50","1,120.50","1,120.65","1,117.85","1,118.93","1,151.85","814.30","64,39,419","7,20,52,63,307.40","1,47,192"
"06-Dec-2023","EQ","1,135.10","1,145.70","1,117.95","1,132.45","1,119.10","1,120.50","1,127.72","1,151.85","814.30","73,42,767","8,28,06,19,747.55","1,79,983"
"05-Dec-2023","EQ","1,136.80","1,151.85","1,127.15","1,125.60","1,132.95","1,132.45","1,138.10","1,151.85","814.30","1,58,04,808","17,98,74,09,745.60","3,10,273"
"04-Dec-2023","EQ","1,120.50","1,129.00","1,099.10","1,104.65","1,123.00","1,125.60","1,115.24","1,129.00","814.30","1,40,43,213","15,66,15,91,637.55","2,31,492"
"01-Dec-2023","EQ","1,075.40","1,109.00","1,070.20","1,074.25","1,103.00","1,104.65","1,097.61","1,109.00","814.30","1,44,28,758","15,83,71,27,265.30","2,68,061"
"30-Nov-2023","EQ","1,062.70","1,080.90","1,055.45","1,060.15","1,070.70","1,074.25","1,070.34","1,080.90","814.30","2,47,55,589","26,49,69,68,754.50","3,23,313"
"29-Nov-2023","EQ","1,027.15","1,063.50","1,021.15","1,021.15","1,058.90","1,060.15","1,044.10","1,063.50","814.30","94,22,396","9,83,79,64,232.90","2,39,751"
"28-Nov-2023","EQ","1,013.05","1,021.95","1,009.25","1,008.50","1,019.20","1,021.15","1,017.14","1,047.50","814.30","61,73,384","6,27,92,06,315.75","1,69,868"
